,ProviderID,Fiscal_year_begin_date,Report_date,Termination_Date,Waiver_code,Intermediary_number,Provider_type,Current_Census_division,Change_code_for_reclass,Actual_Geographic_MSA,Wage_Index_MSA,Standardized_amount_MSA,Sole_community_or_Medicare,LUGAR,Temporary_relief_indicator,Federal_PPS_Blend_indicator,Facility_specific_rate,Cost_of_living_adjustment,Intern_to_bed_ratio,Bed_size,Cost-to-charge_ratio,Case_mix_index,SSI_ratio,Medicaid_ratio,Provider_PPS_period,Special_provider_update_factor,Operating_DSH_percent,Fiscal_year_end_date,Special_wage_index,Special_payment_indicator,Hospital_quality_indicator,Geographic_location_CBSA,Reclassification_CBSA,Standardized_amount_CBSA,Total_pass_through_amount_and_miscellaneous,Pass_through_amount_capital,Pass_through_amount_direct,Pass_through_amount_organ,Capital_PPS_pay_code,Capital_hospital_specific_rate,Capital_old_harmless_rate,Capital_new_harmless_ratio,Capital_cost-to-charge_ratio,New_hospital,Capital_indirect_medical,Capital_exception_payment,Supplemental_wage_index,Supplemental_wage_index_indicator,Value_based_purchasing_participant,Value_based_purchasing_adjustment,Hospital_readmission_reduction_program_participant,Hospital_readmission_reduction_adjustment,Model_1_bundle_percent,Hospital_acquired_condition_(HAC)_reduction_program_participant,Uncompensated_care_amount,Electronic_health_record_(EHR)_incentive_program_reduction_indicator,Low-volume_adjustment_factor,County_code,State_code,Medicare_performance_adjustment,LTCH_DPP_indicator
2968,500148,01/01/2022,03/31/2022,--,N,02001,00,9,N,50,50,50,--,--,--,--,$0.00,1,--,11,0.355,1.0264,0.0219,0.0992,--,--,--,12/31/2004,--,--,1,48300,--,50,$0.00,--,--,--,B,0,0,0,0.005,--,--,0,--,--,N,0,1,1,0,N,"$2,232.34",--,0,53007,50,0,--
2969,500150,04/01/2021,03/31/2022,--,N,02001,00,9,--,6440,--,--,--,--,--,--,$0.00,1,--,191,0.277,--,0.0567,0.2965,--,--,--,03/31/2016,--,--,1,38900,--,--,$1.03,--,$1.03,--,B,0,0,0,0.016,--,--,0,--,--,N,0,1,1,0,N,$894.33,--,0,53011,50,0,--
2970,500151,07/01/2021,03/31/2022,--,N,02001,00,9,--,8200,--,--,--,--,--,--,$0.00,1,--,102,0.187,--,0.0358,0.1526,--,--,--,06/30/2016,--,--,1,45104,--,--,$0.00,--,--,--,B,0,0,0,0.021,--,--,0,--,--,N,0,1,0.9995,0,N,$301.23,--,0,53053,50,0,--
2971,500152,01/01/2022,03/31/2022,--,N,02001,00,9,--,7600,--,--,--,--,--,--,$0.00,1,0.0004,167,0.295,--,0.0732,0.1279,--,--,--,12/31/2014,--,--,1,42644,--,--,$0.75,--,$0.75,--,C,0,0,0,0.059,--,0.0023,0,--,--,N,0,1,0.9806,0,N,$507.52,--,0,53033,50,0,--
2972,500154,01/01/2022,03/31/2022,--,N,02001,00,9,--,7600,--,--,--,--,--,--,$0.00,1,--,52,0.329,--,0.077,0.339,--,--,--,06/06/2021,--,--,1,42644,--,--,$0.00,--,--,--,C,0,0,0,0.047,--,--,0,--,--,N,0,1,1,0,N,"$3,200.53",--,0,53033,50,0,--
2973,510001,01/01/2022,03/31/2022,--,N,11003,07,3,Y,51,6280,51,--,--,--,--,$400.00,1,0.4521,609,0.246,0.3927,0.0805,0.3426,--,--,--,12/31/2022,--,Y,1,34060,38300,--,$238.90,--,$197.37,--,B,1025.74,660,0.54,0.027,--,0.5734,0,--,--,N,0,1,0.9987,0,N,$402.54,--,0,54061,51,0,--
2974,510002,05/01/2021,03/31/2022,--,N,05901,17,3,--,51,--,--,82,--,Y,--,"$5,299.53",1,0.1942,76,0.393,1.1586,0.0692,0.2373,--,--,--,04/30/2022,--,Y,1,51,40220,--,$0.00,--,--,--,C,351.03,0,0,0.028,--,0.5629,0,--,--,N,0,1,0.9975,0,N,$229.67,--,0.119697,54025,51,0,--
2975,510006,01/01/2022,03/31/2022,--,N,11003,22,3,Y,51,6280,51,6,--,--,--,"$5,771.02",1,0.1053,210,0.262,0.2578,0.1009,0.2529,--,--,--,12/31/2022,--,Y,1,51,34060,--,$163.21,--,$76.11,--,C,402.85,0,0,0.038,--,0.1395,0,--,--,N,0,1,0.9949,0,N,$154.61,--,0,54033,51,0,--
2976,510007,10/01/2021,03/31/2022,--,N,11003,00,3,N,3400,3400,3400,--,--,--,--,$400.00,1,0.079,331,0.332,0.2633,0.085,0.2257,--,--,--,09/30/2022,--,--,1,26580,--,--,$119.78,--,$93.58,--,C,334.19,0,0,0.01,--,0.1079,0,--,--,N,0,1,0.9963,0,Y,$339.70,--,0,54011,51,0,--
2977,510008,01/01/2022,03/31/2022,--,N,11003,00,3,N,8840,8840,8840,--,--,--,--,$0.00,1,0.0144,141,0.375,0.1691,0.0576,0.2771,--,--,--,12/31/2022,--,Y,1,25180,47894,--,$89.22,--,$18.27,--,C,387.7,0,0,0.03,--,0.0213,0,--,--,N,0,1,0.9997,0,Y,$414.52,--,0,54003,51,0,--
2978,510012,10/01/2021,03/31/2022,--,N,11003,14,3,N,51,51,51,--,--,--,--,"$4,716.74",1,--,40,0.541,0.0788,0.0906,0.2326,--,--,--,09/30/2022,--,--,1,51,--,--,$129.02,--,--,--,C,191.99,0,0,0.029,--,--,0,--,--,N,0,1,0.9978,0,Y,"$1,045.70",--,0,54053,51,0,--
2979,510013,01/01/2022,03/31/2022,--,N,11003,00,4,N,9000,9000,9000,--,--,--,--,$400.00,1,--,75,0.413,0.1959,0.045,0.2541,--,--,--,12/31/2022,--,--,1,48540,--,--,$128.81,--,$43.71,--,B,429.91,387.86,0.3116,0.016,--,--,0,--,--,N,0,1,0.9935,0,Y,$212.05,--,0,54051,51,0,--
2980,510022,01/01/2022,03/31/2022,--,N,11003,00,3,N,1480,1480,1480,--,--,--,--,$400.00,1,0.1767,753,0.247,0.4281,0.0784,0.2767,--,--,--,12/31/2022,--,Y,1,16620,26580,--,$243.72,--,$136.02,$65.41,B,483.04,0,0,0.01,--,0.29,0,--,--,N,0,1,0.9919,0,Y,$502.38,--,0,54039,51,0,--
2981,510023,07/01/2021,03/31/2022,--,N,11003,07,4,N,8080,8080,8080,--,--,--,--,$0.00,1,--,110,0.245,0.0256,0.0466,0.171,--,--,--,06/30/2022,--,Y,1,48260,38300,51,$39.77,--,--,--,B,512.04,249,0.4046,0.014,--,--,0,--,--,N,0,1,0.9983,0,Y,$345.34,--,0,54029,51,0,--
2982,510024,07/01/2021,03/31/2022,--,N,11003,07,2,Y,51,6280,6280,--,--,--,--,$0.00,1,--,149,0.333,0.2139,0.0507,0.1486,--,--,--,06/30/2022,--,Y,1,34060,21,51,$59.79,--,--,--,C,332,0,0,0.034,--,--,0,--,--,N,0,1,0.9948,0,N,$299.87,--,0,54061,51,0,--
2983,510029,10/01/2021,03/31/2022,--,N,11003,00,3,N,1480,1480,1480,--,--,--,--,$0.00,1,--,161,0.303,0.2053,0.0884,0.2979,--,--,--,09/30/2022,--,--,1,16620,--,--,$44.54,--,--,--,B,425.63,0,0,0.02,--,--,0,--,--,N,0,1,0.9888,0,Y,$205.31,--,0,54039,51,0,--
2984,510030,01/01/2022,03/31/2022,--,N,11003,16,3,N,51,51,51,6,--,Y,--,"$5,606.09",1,--,83,0.529,0.0877,0.0829,0.1932,--,--,--,12/31/2022,--,Y,1,51,34060,--,$201.58,--,--,--,C,154.95,0,0,0.031,--,--,0,--,--,N,0,1,0.9981,0,N,$732.63,--,0.122879,54083,51,0,--
2985,510038,07/01/2021,03/31/2022,--,N,11003,14,3,N,51,51,51,--,--,Y,--,"$5,091.14",1,--,45,0.595,0.118,0.085,0.2403,--,--,--,06/30/2022,--,--,1,51,--,--,$351.95,--,--,--,C,189.74,0,0,0.041,--,--,0,--,--,N,0,1,0.9836,0,N,$442.21,--,0.193106,54041,51,0,--
2986,510039,--,03/31/2022,09/20/2019,N,11003,00,4,N,9000,9000,9000,--,--,--,--,$0.00,1,0.1856,113,0.298,0.1523,0.0923,0.2271,--,--,--,12/31/2019,--,--,1,48540,--,--,$326.01,--,--,--,B,647.63,453.79,0.44,0.019,--,0.6383,0,--,--,Y,0.9979746568,1,0.9926,0,N,$645.33,--,0,54069,51,0,--
2987,510046,07/01/2021,03/31/2022,--,N,11003,17,3,Y,51,1480,51,--,--,--,--,"$5,897.14",1,--,95,0.33,0.3013,0.11,0.2595,--,--,--,06/30/2022,--,Y,1,51,13980,--,$78.99,--,--,--,C,192,0,0,0.014,--,--,0,--,--,N,0,1,0.97,0,N,$309.55,--,0,54055,51,0,--
2988,510047,01/01/2020,03/31/2022,03/31/2020,N,11003,14,2,Y,51,6280,51,--,--,--,--,"$6,479.64",1,--,89,0.315,0.1466,0.1092,0.2919,--,--,--,12/31/2020,--,Y,1,51,38300,--,$124.66,--,--,--,C,269.99,0,0,0.018,--,--,0,--,--,Y,1.0041066361,1,0.9968,0,N,$820.75,--,0,54049,51,0,--
2989,510048,10/01/2021,03/31/2022,--,N,11003,16,3,Y,51,3400,51,96,--,--,--,"$6,835.57",1,--,117,0.233,0.1186,0.127,0.3073,--,--,--,09/30/2022,--,--,1,51,--,--,$90.40,--,--,--,C,372.26,0,0,0.009,--,--,0,--,--,N,0,1,0.9962,0,N,$163.91,--,0,54045,51,0,--
2990,510050,10/01/2021,03/31/2022,--,N,11003,07,4,N,9000,9000,9000,--,--,--,--,$400.00,1,0.1031,198,0.327,0.2085,0.0595,0.1874,--,--,--,09/30/2022,--,Y,1,48540,38300,51,$165.60,--,$82.31,--,C,251.64,0,0,0.017,--,0.1562,0,--,--,N,0,1,0.9778,0,Y,$284.25,--,0,54069,51,0,--
2991,510055,10/01/2021,03/31/2022,--,N,11003,00,3,N,3400,3400,3400,--,--,--,--,$400.00,1,0.214,297,0.264,0.1603,0.1107,0.4796,--,--,--,09/30/2022,--,--,1,26580,--,--,$207.02,--,$155.49,--,C,268.75,0,0,0.024,--,0.3756,0,--,--,N,0,1,0.998,0,Y,$473.67,--,0,54011,51,0,--
2992,510058,01/01/2022,03/31/2022,--,N,11003,07,4,N,6020,6020,6020,--,--,--,--,$0.00,1,0.0771,233,0.259,0.2043,0.0669,0.2168,--,--,--,12/31/2022,--,Y,1,37620,16620,51,$93.26,--,$41.97,--,C,260.88,0,0,0.033,--,0.118,0,--,--,N,0,1,0.9957,0,N,$171.96,--,0,54107,51,0,--
2993,510062,07/01/2021,03/31/2022,--,N,15101,15,3,Y,51,1480,51,--,--,--,--,"$6,265.54",1,--,89,0.336,1.1898,0.1564,0.1785,--,--,--,06/30/2022,--,Y,1,13220,16620,51,$0.00,--,--,--,B,154.23,0,0,0.014,--,--,0,--,--,N,0,1,0.9878,0,N,$218.63,--,0,54081,51,0,--
2994,510070,06/01/2021,03/31/2022,--,N,11003,07,3,Y,51,1480,51,--,--,--,--,$0.00,1,--,287,0.207,0.1241,0.1178,0.2359,--,--,--,05/31/2022,--,Y,1,13220,16620,--,$58.94,--,--,--,B,429.12,0,0,0.011,--,--,0,--,--,N,0,1,0.9885,0,N,$134.17,--,0,54081,51,0,--
2995,510071,07/01/2020,03/31/2022,07/31/2020,N,11003,00,3,Y,51,1480,51,--,--,--,--,"$6,696.59",1,0.2582,52,0.353,0.226,0.1075,0.3026,--,--,--,06/30/2021,--,Y,1,51,13980,--,$352.10,--,$217.63,--,B,405.15,0,0,0.019,--,0.63,0,--,--,Y,0.9981150838,1,0.9905,0,N,$372.32,--,0,54055,51,0,--
2996,510072,01/01/2022,03/31/2022,--,N,11003,16,3,N,51,51,51,6,--,Y,--,"$4,634.48",1,--,44,0.479,1.0935,0.0743,0.1348,--,--,--,12/31/2022,--,--,1,51,--,--,$51.71,--,--,--,B,421.19,357.89,0.3881,0.014,--,--,0,--,--,N,0,1,0.9997,0,N,$626.87,--,0.25,54103,51,0,--
2997,510077,10/01/2021,03/31/2022,04/21/2020,N,05901,00,3,--,51,--,--,--,--,--,--,$0.00,1,--,24,0.508,0.9957,0.2778,0.2883,--,--,--,09/30/2022,--,--,1,51,--,--,$0.00,--,--,--,B,671.32,0,0,0.027,--,--,0,--,--,N,0,1,0.9953,0,N,"$1,089.58",--,0,54059,51,0,--
2998,510082,01/01/2018,03/31/2022,01/31/2019,N,11003,16,3,N,51,51,51,--,--,Y,--,"$5,374.62",1,--,35,0.45,0.9619,0.0977,0.1791,--,--,--,12/31/2018,--,--,1,51,--,--,$78.96,--,--,--,C,265.48,0,0,0.022,--,--,0,--,--,Y,0.9982666278,1,0.9938,0,Y,$772.86,Y,0.175303,54067,51,0,--
2999,510086,07/01/2021,03/31/2022,--,N,11003,16,3,N,51,51,51,6,--,Y,--,"$10,382.41",1,--,47,0.844,0.9982,0.1496,0.1897,--,--,--,06/30/2022,--,--,1,51,--,--,$62.95,--,--,--,C,302.16,0,0,0.013,--,--,0,--,--,N,0,1,1,0,Y,$27.38,--,0.247727,54047,51,0,--
3000,510091,01/01/2022,03/31/2022,--,N,11003,00,3,--,1480,--,--,--,--,--,--,$0.00,1,--,8,0.689,--,0.0094,0,--,--,--,12/31/2022,--,--,1,16620,--,--,$280.81,--,--,--,C,0,0,0,0.021,--,--,0,--,--,N,0,1,1,0,N,$0.00,Y,0,54039,51,0,--
3001,520002,07/01/2021,03/31/2022,--,N,06001,07,4,Y,52,8940,--,--,--,--,--,$0.00,1,--,79,0.374,1.2428,0.0662,0.1893,--,--,--,06/30/2022,--,--,1,52,--,--,$0.00,--,--,--,B,0,677.65,0.3,0.035,--,--,0,--,--,N,0,1,0.9988,0,N,$838.62,--,0,55097,52,0,--
3002,520004,01/01/2022,03/31/2022,--,N,06001,07,4,N,3870,--,--,--,--,--,--,$0.00,1,0.1174,136,0.484,1.2152,0.0457,0.1777,--,--,--,12/31/2022,--,Y,1,29100,40340,52,$57.51,--,$57.51,--,C,0,0,0,0.035,--,0.343,0,--,--,N,0,1,0.9919,0,N,$282.37,--,0,55063,52,0,--
3003,520008,10/01/2021,03/31/2022,--,N,06001,00,4,N,5080,--,--,--,--,--,--,$0.00,1,0.0666,230,0.276,1.6082,0.021,0.1285,--,--,--,09/30/2022,--,--,1,33340,--,--,$16.94,--,$16.94,--,C,0,0,0,0.032,--,0.1121,0,--,--,N,0,1,0.9969,0,N,$0.00,--,0,55133,52,0,--
3004,520009,07/01/2021,03/31/2022,--,N,06001,00,4,N,0460,--,--,--,--,--,--,$0.00,1,0.0186,254,0.381,1.6644,0.0429,0.255,--,--,--,06/30/2022,--,--,1,11540,--,--,$15.62,--,$15.62,--,B,0,626.63,0.186,0.028,--,0.0351,0,--,--,N,0,1,0.9992,0,Y,$693.23,--,0,55087,52,0,--
3005,520011,01/01/2022,03/31/2022,--,N,06001,16,4,N,52,--,--,6,--,Y,--,"$5,819.19",1,--,38,0.574,1.1658,0.0525,0.1848,--,--,--,12/31/2022,--,--,1,52,--,--,$0.00,--,--,--,C,0,0,0,0.031,--,--,0,--,--,N,0,1,0.9963,0,N,$477.42,--,0.154969,55005,52,0,--
3006,520013,07/01/2021,03/31/2022,--,N,06001,07,4,N,2290,--,--,--,--,--,--,$0.00,1,0.0629,164,0.321,1.3414,0.0596,0.2163,--,--,--,06/30/2022,--,Y,1,20740,33460,52,$18.17,--,$18.17,--,C,0,0,0,0.037,--,0.1333,0,--,--,N,0,1,1,0,N,$252.50,--,0,55035,52,0,--
3007,520017,07/01/2021,03/31/2022,--,N,06001,00,4,N,2290,--,--,--,--,--,--,$0.00,1,--,101,0.437,1.1203,0.0951,0.4887,--,--,--,06/30/2022,--,--,1,20740,--,--,$0.00,--,--,--,C,0,0,0,0.051,--,--,0,--,--,N,0,1,0.9986,0,N,$574.92,--,0,55017,52,0,--
3008,520019,07/01/2021,03/31/2022,--,N,06001,16,4,N,52,--,--,6,--,Y,--,"$6,633.86",1,--,50,0.363,1.1934,0.0625,0.1901,--,--,--,06/30/2022,--,--,1,52,--,--,$0.00,--,--,--,B,0,572.4,0.0962,0.024,--,--,0,--,--,N,0,1,0.9988,0,N,$725.58,--,0.119697,55085,52,0,--
3009,520021,07/01/2021,03/31/2022,--,N,06001,00,5,Y,3800,1600,1600,--,--,--,--,$0.00,1,--,192,0.318,1.4879,0.0629,0.2025,--,--,--,06/30/2022,--,--,1,29404,--,--,$0.00,--,--,--,C,0,0,0,0.041,--,--,0,--,--,N,0,1,0.9815,0,N,$597.32,--,0,55059,52,0,--
