,Bad_ID
873,342606
874,06A171
875,552577
876,102831
877,042310
878,142662
879,502544
880,26A381
881,45E852
882,212614
883,182559
884,322501
885,032607
886,192552
887,052550
888,332657
889,103503
890,312594
891,492694
892,382580
893,102899
894,A01621
895,522561
896,462539
897,522562
898,212691
899,192501
900,212712
901,422660
902,212736
903,682666
904,053526
905,312676
906,221609
907,A11517
908,A11739
909,102814
910,502602
911,A11590
912,672610
913,A11560
914,682675
915,25A162
916,552555
917,392716
918,672595
919,212616
920,232583
921,522502
922,552514
923,102779
924,102545
925,012620
926,052797
927,032573
928,502551
929,162540
930,112800
931,422639
932,442605
933,232589
934,243540
935,322548
936,132529
937,382573
938,102741
939,212693
940,342590
941,232699
942,852518
943,272511
944,192684
945,012684
946,142853
947,552877
948,231681
949,332682
950,332640
951,A11592
952,122502
953,A01791
954,A11566
955,362661
956,492657
957,442594
958,392666
959,192597
960,212523
961,372514
962,492506
963,102673
964,362603
965,402528
966,17E424
967,052789
968,192525
969,102668
970,332393
971,17E528
972,022507
973,102878
974,291563
975,182595
976,392807
977,552873
978,A01740
979,102843
980,682659
981,332773
982,192745
983,52A431
984,A11715
985,A11561
986,A11600
987,142699
988,A11553
989,122535
990,422547
991,062533
992,09002F
993,492529
994,382531
995,192530
996,322523
997,492527
998,052405
999,08A011
1000,502553
1001,17005F
1002,162556
1003,552717
1004,672829
1005,222570
1006,062541
1007,392844
1008,062521
1009,442759
1010,332390
1011,A01772
1012,342732
1013,372584
1014,411512
1015,282535
1016,25A233
1017,031697
1018,142844
1019,A01609
1020,A01738
1021,012695
1022,752500
1023,A01732
1024,A01739
1025,A11717
1026,A11747
1027,A01634
1028,332795
1029,522509
1030,342649
1031,262595
1032,452385
1033,452630
1034,322516
1035,102849
1036,112750
1037,132519
1038,312596
1039,292537
1040,682600
1041,312681
1042,672794
1043,242593
1044,312643
1045,672545
1046,212705
1047,682583
1048,332727
1049,082524
1050,672790
1051,042570
1052,232719
1053,392848
1054,A01671
1055,A01764
1056,742543
1057,742521
1058,682686
1059,102832
1060,252568
1061,A01694
1062,A01637
1063,192749
1064,672839
1065,362882
1066,362889
1067,342749
1068,392549
1069,292558
1070,A11546
1071,142540
1072,332667
1073,333515
1074,142664
1075,382500
1076,372511
1077,182549
1078,362624
1079,362528
1080,04A158
1081,032581
1082,492576
1083,232533
1084,232721
1085,042576
1086,14T135
1087,332394
1088,342661
1089,392773
1090,382529
1091,222534
1092,092527
1093,142754
1094,442715
1095,112884
1096,382566
1097,112864
1098,332694
1099,A01607
1100,392300
1101,65001F
1102,092529
1103,142799
1104,332782
1105,742518
1106,742504
1107,291574
1108,742548
1109,A01735
1110,342736
1111,A11657
1112,112554
1113,332808
1114,112722
1115,032601
1116,452740
1117,332581
1118,272300
1119,51E124
1120,362649
1121,452669
1122,062501
1123,39051E
1124,232648
1125,242324
1126,362744
1127,16E728
1128,232682
1129,342726
1130,49006F
1131,372592
1132,452863
1133,552720
1134,102629
1135,A01653
1136,402519
1137,332744
1138,A01662
1139,142866
1140,332767
1141,A01608
1142,17E210
1143,342716
1144,362890
1145,A11645
1146,522313
1147,142620
1148,142625
1149,322506
1150,032523
1151,502509
1152,17E451
1153,232585
1154,032547
1155,332531
1156,152606
1157,452517
1158,452808
1159,742533
1160,142638
1161,342596
1162,022504
1163,182560
1164,382554
1165,232651
1166,392770
1167,392544
1168,442679
1169,112801
1170,A11534
1171,012646
1172,212594
1173,682502
1174,682534
1175,372571
1176,112508
1177,282500
1178,552777
1179,25040F
1180,142773
1181,342709
1182,192752
1183,A11660
1184,362880
1185,012709
1186,142862
1187,672891
1188,492705
1189,112911
1190,172562
1191,062547
1192,112559
1193,06A172
1194,102864
1195,192686
1196,112704
1197,102841
1198,262573
1199,14E888
1200,112779
1201,052826
1202,232545
1203,342514
1204,452615
1205,49E076
1206,132501
1207,192555
1208,192618
1209,452507
1210,412514
1211,44016F
1212,122516
1213,192325
1214,462540
1215,132521
1216,392559
1217,252572
1218,142747
1219,01A208
1220,522524
1221,012650
1222,362845
1223,852500
1224,362787
1225,102571
1226,28E180
1227,A01658
1228,39012F
1229,A01774
1230,123301
1231,852537
1232,212715
1233,242697
1234,A11578
1235,392897
1236,012524
1237,A11559
1238,112744
1239,332511
1240,102762
1241,182566
1242,522324
1243,082530
1244,032593
1245,222571
1246,112799
1247,112819
1248,112847
1249,082301
1250,522605
1251,112621
1252,A01547
1253,19043F
1254,042534
1255,312630
1256,672837
1257,031692
1258,031723
1259,332772
1260,401575
1261,112732
1262,432516
1263,A11663
1264,672811
1265,392894
1266,031726
1267,A01736
1268,312705
1269,332388
1270,102776
1271,05A263
1272,112702
1273,102696
1274,212680
1275,102517
1276,422516
1277,192651
1278,052398
1279,152601
1280,362553
1281,362577
