,ProviderID,Fiscal_year_begin_date,Report_date,Termination_Date,Waiver_code,Intermediary_number,Provider_type,Current_Census_division,Change_code_for_reclass,Actual_Geographic_MSA,Wage_Index_MSA,Standardized_amount_MSA,Sole_community_or_Medicare,LUGAR,Temporary_relief_indicator,Federal_PPS_Blend_indicator,Facility_specific_rate,Cost_of_living_adjustment,Intern_to_bed_ratio,Bed_size,Cost-to-charge_ratio,Case_mix_index,SSI_ratio,Medicaid_ratio,Provider_PPS_period,Special_provider_update_factor,Operating_DSH_percent,Fiscal_year_end_date,Special_wage_index,Special_payment_indicator,Hospital_quality_indicator,Geographic_location_CBSA,Reclassification_CBSA,Standardized_amount_CBSA,Total_pass_through_amount_and_miscellaneous,Pass_through_amount_capital,Pass_through_amount_direct,Pass_through_amount_organ,Capital_PPS_pay_code,Capital_hospital_specific_rate,Capital_old_harmless_rate,Capital_new_harmless_ratio,Capital_cost-to-charge_ratio,New_hospital,Capital_indirect_medical,Capital_exception_payment,Supplemental_wage_index,Supplemental_wage_index_indicator,Value_based_purchasing_participant,Value_based_purchasing_adjustment,Hospital_readmission_reduction_program_participant,Hospital_readmission_reduction_adjustment,Model_1_bundle_percent,Hospital_acquired_condition_(HAC)_reduction_program_participant,Uncompensated_care_amount,Electronic_health_record_(EHR)_incentive_program_reduction_indicator,Low-volume_adjustment_factor,County_code,State_code,Medicare_performance_adjustment,LTCH_DPP_indicator
7668,285218,07/01/2021,03/31/2022,,N,05901,38,6,N,5920,5920,5920,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,36540,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,28,0,
7669,285219,07/01/2021,03/31/2022,,N,05901,38,6,N,4360,4360,4360,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,30700,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,28,0,
7670,285220,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,28,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7671,285221,01/01/2021,03/31/2022,,N,12001,38,6,,28,,,,,,4,$0.00,,,0,0,,0,0,,,,12/31/2021,,,1,24260,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,,$0.00,,0,31079,28,0,
7672,285222,07/01/2021,03/31/2022,,N,05901,38,6,N,7720,7720,7720,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,43580,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7673,285224,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,28,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7674,285225,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,28,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7675,285226,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,24260,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7676,285228,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,28,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7677,285229,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,28,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7678,285230,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,28,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7679,285231,07/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,36540,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7680,285232,01/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,12/31/2021,,,1,30700,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,28,0,
7681,285235,01/01/2021,03/31/2022,,N,05901,38,6,N,28,28,28,,,,4,$0.00,1,,100,1,1,0,0,,,,12/31/2021,,,1,28,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
7682,285238,07/01/2021,03/31/2022,,N,05901,38,6,N,5920,5920,5920,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,36540,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,28,0,
7683,285239,01/01/2021,03/31/2022,,N,05001,38,6,N,5920,5920,5920,,,,4,$0.00,1,,20,1,1,0,0,,,,12/31/2021,,,1,36540,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,28,0,
